surface,x,y,z,normalX,normalY,normalZ,radiusM,hardness,strength
1,0.14764404296875,0,-0.07275390625,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.16534423828125,0,1.3603515625,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.1829833984375,0,2.1934814453125,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.199951171875,0,2.99114990234375,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.21533203125,0,3.71807861328125,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.23248291015625,0,4.527099609375,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.24749755859375,0,5.23431396484375,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.2650146484375,0,6.05914306640625,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.28253173828125,0,6.8839111328125,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.300048828125,0,7.70867919921875,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.3145751953125,0,8.39599609375,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.32916259765625,0,9.0833740234375,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.34375,0,9.77069091796875,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.35833740234375,0,10.4580078125,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.3729248046875,0,11.14532470703125,0,1,0,0.57999998331069946,0.550000011920929,1
1,0.375244140625,0,11.2547607421875,0,1,0,0.69196408987045288,0.550000011920929,1
